row,id,province,district,name,short_name,type,latitude,longitude
1,1040215,Zambezia,Alto Molócuè,CS Mugema,,,-15.3980630636,37.55469203
2,1040206,Zambezia,Alto Molócuè,CS Alto Molocue,,,-15.6303584576,37.6833951473
3,1040299,Zambezia,Alto Molócuè,CS Bonifacio Groveta,,,-15.6441128254,37.6794683933
4,1040207,Zambezia,Alto Molócuè,CS Caiaia,,,-15.5649930239,37.7904421091
5,1040208,Zambezia,Alto Molócuè,CS Chapala,,,-15.8631259203,37.6376366615
6,1040255,Zambezia,Alto Molócuè,CS Nacuaca,,,-15.7293534279,37.8436142206
7,1040236,Zambezia,Alto Molócuè,CS Cololo,,,-15.5678039789,37.3590677977
8,1040216,Zambezia,Alto Molócuè,CS Ecole,,,-15.38615942,37.7677077055
9,1040200,Zambezia,Alto Molócuè,HD Alto Mulocue,,,-15.6311309338,37.6828533411
10,,Zambezia,Alto Molócuè,IFP Alto Molocue,,,-15.603187,37.677051
11,1040265,Zambezia,Alto Molócuè,CS Malua,,,-15.6920063496,37.6470780373
12,1040212,Zambezia,Alto Molócuè,CS Mutala,,,-15.9179931879,37.852486968
13,1040213,Zambezia,Alto Molócuè,CS Nauela,,,-15.4338008165,37.4433213472
14,1040214,Zambezia,Alto Molócuè,CS Nivava,,,-15.6702375412,37.5731831789
15,1040237,Zambezia,Alto Molócuè,CS Novanana,,,-15.7636857033,37.7554124594
16,1040256,Zambezia,Alto Molócuè,PS Nimala,,,-15.5612593889,37.5903385878
17,1040307,Zambezia,Chinde,CS Chinde,,,-18.5844415426,36.4631724358
18,1040309,Zambezia,Chinde,CS Madal,,,-18.2685309649,36.650261879
19,1040313,Zambezia,Chinde,CS Jorge,,,-18.6535513401,36.3737154007
20,1040310,Zambezia,Chinde,CS Matilde,,,-18.6657875776,36.2421262264
21,1040311,Zambezia,Chinde,CS Micaune,,,-18.3676761389,36.5682345629
22,1040316,Zambezia,Chinde,PS Centro Educacional,,,-18.6116284132,36.4313185215
23,1040312,Zambezia,Chinde,PS Mitange,,,-18.2941782475,36.7137175798
24,,Zambezia,Cidade de Quelimane,Clinica Boa Esperanca,,,-17.8773468733,36.8862855434
25,1040106,Zambezia,Cidade de Quelimane,CS 17 De Setembro,,,-17.8617310524,36.8952870369
26,1040107,Zambezia,Cidade de Quelimane,CS 24 de Julho,,,-17.8755068779,36.8808943033
27,1040109,Zambezia,Cidade de Quelimane,CS 4 de Dezembro,,,-17.880243659,36.891617775
28,1040114,Zambezia,Cidade de Quelimane,CS Chabeco,,,-17.865716815,36.8876266479
29,1040108,Zambezia,Cidade de Quelimane,CS Coalane,,,-17.8610605001,36.9078934193
30,1040117,Zambezia,Cidade de Quelimane,CS Incidua,,,-17.8877323866,36.9157522917
31,1040125,Zambezia,Cidade de Quelimane,CS Inhangulue,,,-17.9358994961,36.9430303574
32,1040119,Zambezia,Cidade de Quelimane,CS Estação Malanha,,,-17.7910333872,37.1540665627
33,1040122,Zambezia,Cidade de Quelimane,CS Maquival Sede,,,-17.7786201239,37.0583707094
34,1040120,Zambezia,Cidade de Quelimane,CS Ionge,,,-17.7002245188,37.1131682396
35,1040121,Zambezia,Cidade de Quelimane,CS Madal,,,-17.939992547,36.9822603464
36,104115,Zambezia,Cidade de Quelimane,CS Santo Egidio,,,-17.859957,36.895793
37,1040101,Zambezia,Cidade de Quelimane,HC Quelimane,,,-17.817627,36.957792
38,,Zambezia,Cidade de Quelimane,ICS Quelimane,,,-17.820101,36.954702
39,1040123,Zambezia,Cidade de Quelimane,CS Maquival Rio,,,-17.7309840918,37.0756065845
40,1040116,Zambezia,Cidade de Quelimane,CS Micajune,,,-17.8468984365,36.9006568193
41,1040111,Zambezia,Cidade de Quelimane,CS Namuinho,,,-17.8189766407,36.9467318058
42,1040112,Zambezia,Cidade de Quelimane,CS Sangarivera,,,-17.867615819,36.9237238169
43,1040124,Zambezia,Cidade de Quelimane,CS Varela,,,-17.8561788797,37.0233356953
44,,Zambezia,Cidade de Quelimane,CS VET,,,-17.8723472357,36.8917626143
45,,Zambezia,Cidade de Quelimane,DPM Zambezia,,,-17.8822,36.8872
46,1040100,Zambezia,Cidade de Quelimane,HG Quelimane,,,-17.8822284937,36.887294054
47,,Zambezia,Cidade de Quelimane,IFP Quelimane,,,-17.8616283761,36.9150676384
48,,Zambezia,Cidade de Quelimane,ISCISA,,,-17.8702823785,36.8836784363
49,1040110,Zambezia,Cidade de Quelimane,PS Cadeia Civil,,,-17.8785324097,36.8882757425
50,1040118,Zambezia,Cidade de Quelimane,PS Zalala Mar,,,-17.837086916,37.1211773157
51,1041803,Zambezia,Derre,CS Derre,,,-16.9679278135,36.1184227467
52,1041804,Zambezia,Derre,CS Guerissa,,,-17.3168885708,35.955349803
53,1041805,Zambezia,Derre,CS Machindo,,,-17.206993103,36.2791836262
54,1040406,Zambezia,Gile,CS Alto Ligonha,,,-15.51184237,38.2571572065
55,1040439,Zambezia,Gile,CS Kayane,,,-16.273342967,37.9234260321
56,1040405,Zambezia,Gile,CS Intxotxa,,,-15.728579,38.274439
57,1040455,Zambezia,Gile,CS Mamala,,,-15.9744483232,38.5499632359
58,1040404,Zambezia,Gile,CS Mutequela,,,-15.7535845041,38.6968839169
59,1040408,Zambezia,Gile,CS Moneia,,,-15.9625178576,38.4415483475
60,1040409,Zambezia,Gile,CS Muiane,,,-15.7284629345,38.2745915651
61,1040462,Zambezia,Gile,CS Pury,,,-15.9804350138,38.3320605755
62,1040410,Zambezia,Gile,CS Uape,,,-16.1321246624,38.097474575
63,1040407,Zambezia,Gile,HD Gile,,,-16.1464583874,38.372631669
64,1040437,Zambezia,Gile,PS Namuaca,,,-15.5847877264,38.4184652567
65,1040506,Zambezia,Gurue,CS Gurue,,,-15.4627364874,36.9826734066
66,1040516,Zambezia,Gurue,CS Invinha,,,-15.5567371845,37.0551091433
67,1040507,Zambezia,Gurue,CS Lioma,,,-15.1720172167,36.804869771
68,1040517,Zambezia,Gurue,CS Macuarro,,,-15.7714104652,37.0844525099
69,1040508,Zambezia,Gurue,CS Mepuagiua,,,-15.5398982763,37.1931141615
70,1040514,Zambezia,Gurue,CS Muagiua,,,-15.5405849218,36.8843704462
71,1040509,Zambezia,Gurue,CS Ruace,,,-15.1988232136,36.7023932934
72,1040510,Zambezia,Gurue,CS Serra,,,-15.3151345253,36.6587913036
73,1040511,Zambezia,Gurue,CS Tetete,,,-15.386454463,36.5263009071
74,1040512,Zambezia,Gurue,CS UP 10,,,-15.4883408546,37.140237093
75,1040513,Zambezia,Gurue,CS UP 4,,,-15.4564923048,36.9553041458
76,1040500,Zambezia,Gurue,HD Gurue,,,-15.4624789953,36.983435154
77,1040563,Zambezia,Gurue,PS Nintulo,,,-15.0914061069,37.1232694387
78,1040655,Zambezia,Ile,CS Curruane,,,-15.8410620689,37.3225790262
79,1040601,Zambezia,Ile,CS ILE,,,-16.0378396511,37.1680194139
80,1040661,Zambezia,Ile,CS Namanda,,,-16.212745,37.156682
81,1040637,Zambezia,Ile,CS Massira,,,-16.0934901237,37.3364835978
82,1040667,Zambezia,Ile,CS Mucuaba,,,-16.040430665,37.2739452124
83,1040610,Zambezia,Ile,CS Mulequela,,,-15.9543424845,37.1207374334
84,1040608,Zambezia,Ile,CS Mungulama,,,-16.036208868,37.5238627195
85,1040636,Zambezia,Ile,CS Niboia,,,-16.0701280832,37.3650544882
86,1040612,Zambezia,Ile,CS Nipiode,,,-16.1421132088,37.3826658726
87,1040607,Zambezia,Ile,CS Phalane,,,-15.9903430939,37.3571312428
88,1040613,Zambezia,Ile,CS Socone,,,-15.7843708992,37.16340065
89,1040665,Zambezia,Ile,CS Ualasse,,,-15.7621514797,37.2849529982
90,1040711,Zambezia,Inhassunge,CS Bingagira,,,-18.0292725563,36.7361408472
91,1040706,Zambezia,Inhassunge,CS Chirimane,,,-18.0778741837,36.8961399794
92,1040707,Zambezia,Inhassunge,CS Gonhane,,,-18.1143897772,36.7580920458
93,1040708,Zambezia,Inhassunge,CS Inhassunge Sede,,,-18.0099070072,36.810888648
94,1040712,Zambezia,Inhassunge,CS Ilova,,,-17.8945988417,36.7665088177
95,1040710,Zambezia,Inhassunge,CS Olinda,,,-18.0762702227,36.9276183844
96,1040713,Zambezia,Inhassunge,CS Palane-Mucula,,,-17.9765832424,36.8578916788
97,1041903,Zambezia,Luabo,CS Ilha Salia,,,-18.5695767403,36.1946189404
98,1041902,Zambezia,Luabo,CS Luabo,,,-18.4051519632,36.1079567671
99,1041905,Zambezia,Luabo,CS Socovinho,,,-18.473226428,36.1344999075
100,1040809,Zambezia,Lugela,CS Erurune,,,-16.3943964243,36.9802218676
101,1040810,Zambezia,Lugela,CS Limbue,,,-16.3630735874,36.3791120052
102,1040806,Zambezia,Lugela,CS Lugela,,,-16.4253169298,36.7431145906
103,1040811,Zambezia,Lugela,CS Mubanama,,,-16.0224062204,36.4857083559
104,1040836,Zambezia,Lugela,CS Mulide,,,-16.3761734962,37.0464777946
105,1040812,Zambezia,Lugela,CS Mungulune,,,-16.2184220552,36.9361048937
106,1040807,Zambezia,Lugela,CS Munhamade,,,-16.5927618742,36.9722181559
107,1040808,Zambezia,Lugela,CS Namagoa,,,-16.7503201962,36.9429713488
108,1040814,Zambezia,Lugela,CS Puthine,,,-16.3515561819,36.8535894156
109,1040815,Zambezia,Lugela,CS Tacuane,,,-16.3669037819,36.5149122477
110,1040816,Zambezia,Lugela,PS Mucubi,,,-16.2175798416,37.0009821653
111,1040838,Zambezia,Lugela,PS Mudedereia,,,-16.4010697603,36.5811252594
112,1040813,Zambezia,Lugela,PS Nigau,,,-16.5528345108,36.8616789579
113,1040916,Zambezia,Maganja Da Costa,CS Alto Mutola,,,-17.3307073116,37.1999752522
114,1040913,Zambezia,Maganja Da Costa,CS Cariua,,,-17.2444367409,37.2003346682
115,1040908,Zambezia,Maganja Da Costa,CS Mabala,,,-17.5204360485,37.5514036417
116,1040906,Zambezia,Maganja Da Costa,CS Maganja da Costa,,,-17.3093032837,37.5089174509
117,1040936,Zambezia,Maganja Da Costa,CS Mapira,,,-17.0908695459,37.1856737137
118,1040909,Zambezia,Maganja Da Costa,CS Muloa,,,-17.5585877895,37.4681049585
119,1040961,Zambezia,Maganja Da Costa,CS Muzo,,,-17.0094752312,37.4876153469
120,1040911,Zambezia,Maganja Da Costa,CS Nante,,,-17.4383282661,37.2856020927
121,1040937,Zambezia,Maganja Da Costa,PS Moneia,,,-17.4126273394,37.2540807724
122,1040919,Zambezia,Maganja Da Costa,PS Mugaua,,,-17.4291229248,37.5694710016
123,1040915,Zambezia,Maganja Da Costa,PS Vila Valdez,,,-17.6090455055,37.3973214626
124,1041007,Zambezia,Milange,CS Carico,,,-16.0564649105,36.0288959742
125,1041016,Zambezia,Milange,CS Dachudua,,,-16.1682057381,35.4534012079
126,1041011,Zambezia,Milange,CS Dulanha,,,-16.3130503893,35.6314730644
127,1041018,Zambezia,Milange,CS Gurgunha,,,-16.099438,35.770111
128,1041014,Zambezia,Milange,CS Liciro,,,-16.4490866661,36.0463786125
129,1041006,Zambezia,Milange,CS Milange,,,-16.098806262,35.7689094543
130,1041010,Zambezia,Milange,CS Majaua,,,-16.2311410904,35.7585132122
131,1041004,Zambezia,Milange,CS Muanhambo,,,-16.35729,35.454933
132,1041015,Zambezia,Milange,CS Mongue,,,-16.4385080338,35.4996103048
133,1041017,Zambezia,Milange,PS Nambuzi,,,-16.3202548027,35.672044158
134,1041067,Zambezia,Milange,CS Sabelua,,,-16.468205452,35.8155369759
135,1041012,Zambezia,Milange,CS Tengua,,,-16.210257411,35.7995885611
136,1041000,Zambezia,Milange,HR Milange,,,-16.0979479551,35.7814997435
137,1041013,Zambezia,Milange,PS Vulalo,,,-16.2174671888,35.6259638071
138,1041137,Zambezia,Mocuba,CS 16 de Junho,,,"-16.838705, ",36.975318
139,1041114,Zambezia,Mocuba,CS Alto Benfica,,,-16.6446465254,36.3214069605
140,1041110,Zambezia,Mocuba,CS Caiave,,,-17.0023673773,36.7706716061
141,1041113,Zambezia,Mocuba,CS Intome,,,-16.5574800968,37.2980314493
142,1041119,Zambezia,Mocuba,CS Magogodo,,,-16.971658,37.097156
143,1041106,Zambezia,Mocuba,CS Mocuba,,,-16.84222,36.99141
144,1041136,Zambezia,Mocuba,CS Muanaco,,,-16.860641,36.988385
145,1041109,Zambezia,Mocuba,CS Muaquiua,,,-16.7209017277,37.4091875553
146,1041117,Zambezia,Mocuba,CS Munhiba,,,-17.1467614174,36.9369953871
147,1041116,Zambezia,Mocuba,CS Namanjavira,,,-16.8000000715,36.5790116787
148,1041118,Zambezia,Mocuba,CS Nhaluanda,,,-17.1194271,36.970571
149,1041111,Zambezia,Mocuba,CS P.Ucerra (Privado),,,-16.839401722,36.9848567247
150,1041120,Zambezia,Mocuba,CS Samora Machel,,,-16.803266,37.006022
151,1041100,Zambezia,Mocuba,HD Mocuba,,,-16.8404263258,36.9872170687
152,,Zambezia,Mocuba,CFS Mocuba,,,-16.841694,36.989134
153,1041122,Zambezia,Mocuba,CS Mataia,,,-17.237165,36.879982
154,1041156,Zambezia,Mocuba,CS Namabida,,,-17.18477,36.964508
155,1041158,Zambezia,Mocuba,CS Namagoa,,,-16.85,36.983333
156,1041121,Zambezia,Mocuba,CS Pedreira,,,-16.866805,36.949001
157,1042003,Zambezia,Mocubela,CS Gurai,,,-17.3091477156,37.9739481211
158,1042004,Zambezia,Mocubela,CS Ilha de Idugo,,,-17.3069804907,38.0586898327
159,1042005,Zambezia,Mocubela,CS Maneia,,,-16.7667299509,37.5957405567
160,1042006,Zambezia,Mocubela,CS Mocubela,,,-16.8975949287,37.8350311518
161,1042007,Zambezia,Mocubela,CS Naico,,,-17.1035188437,37.9784166813
162,1042010,Zambezia,Mocubela,CS Tapata,,,-17.2635823488,37.8936266899
163,1042008,Zambezia,Mocubela,PS Bajone,,,-17.2036671638,37.9566800594
164,1042009,Zambezia,Mocubela,PS Missal,,,-17.2306287289,37.7765375376
165,1042105,Zambezia,Molumbo,CS Corromana,,,-15.775911212,36.0164505243
166,1042107,Zambezia,Molumbo,CS Malua,,,-15.5348557234,36.4807999134
167,1042104,Zambezia,Molumbo,CS Molumbo,,,-15.4871553183,36.2709385157
168,1042106,Zambezia,Molumbo,CS Nantuto,,,-15.7085072994,36.5140432119
169,1042108,Zambezia,Molumbo,CS Namucumua,,,-15.809057951,36.2524098158
170,1042109,Zambezia,Molumbo,PS Cazimbe,,,-15.4723280668,35.8731079102
171,1041236,Zambezia,Mopeia,CS 8 de Março,,,-17.92088449,35.6927615404
172,1041237,Zambezia,Mopeia,CS Catale,,,-17.7388590574,36.5363109112
173,1041206,Zambezia,Mopeia,CS Chimuara,,,-17.7775901556,35.4105716944
174,1041207,Zambezia,Mopeia,CS Gulamo,,,-17.6905578375,35.6659984589
175,1041208,Zambezia,Mopeia,CS Lua-Lua,,,-17.5278282166,36.2962800264
176,1041209,Zambezia,Mopeia,CS Mopeia,,,-17.979426384,35.7127171755
177,1041202,Zambezia,Mopeia,CS Mungane,,,-15.7085072994,36.5140432119
178,1041203,Zambezia,Mopeia,CS Sangalaza,,,-18.291965,35.947201
179,1041213,Zambezia,Mopeia,CS Noere,,,-17.6952248812,35.3561121225
180,1041214,Zambezia,Mopeia,CS Nzanza,,,-17.8830492496,35.5175167322
181,1041210,Zambezia,Mopeia,CS Posto Campo,,,-17.7636158466,36.3234293461
182,1041211,Zambezia,Mopeia,PS Nhacatundo,,,-17.8074163198,35.4376083612
183,1041363,Zambezia,Morrumbala,CS Chilomo,,,-16.5445894003,35.1782494783
184,1041315,Zambezia,Morrumbala,CS Chire,,,-16.6933447123,35.3494119644
185,1041308,Zambezia,Morrumbala,CS Cumbapo,,,-17.2616779804,35.6288713217
186,1041317,Zambezia,Morrumbala,CS Djasse,,,-17.2409820557,35.8407175541
187,1041358,Zambezia,Morrumbala,CS Fabrica,,,-17.4039530754,35.6899559498
188,1041316,Zambezia,Morrumbala,CS Gaute,,,-17.2469419241,35.3586119413
189,1041311,Zambezia,Morrumbala,CS Megaza,,,-17.141705,35.32137187
190,1041312,Zambezia,Morrumbala,CS Mepinha,,,-17.2047829628,35.7802122831
191,1041306,Zambezia,Morrumbala,CS Morrumbala,,,-17.3280519247,35.5760371685
192,1041336,Zambezia,Morrumbala,HD Morrumbala,,,-17.3274618387,35.5769920349
193,1041321,Zambezia,Morrumbala,CS Balicholo,,,-17.3278,35.577
194,1041307,Zambezia,Morrumbala,CS Boroma,,,-17.4155080318,35.6109058857
195,1041320,Zambezia,Morrumbala,CS Goro,,,-17.263386,35.636113
196,1041359,Zambezia,Morrumbala,CS Mecaula,,,-17.4925464392,35.3477007151
197,1041322,Zambezia,Morrumbala,CS Mureremba,,,-17.060949,35.533392
198,,Zambezia,Morrumbala,IFP Morrumbala,,,-17.325824,35.580882
199,1042204,Zambezia,Mulevala,CS Chiraco,,,-16.3584762812,37.7671605349
200,1042206,Zambezia,Mulevala,CS Jajo,,,-16.2691426277,37.5161218643
201,1042207,Zambezia,Mulevala,CS Marropino,,,-16.5121561289,37.886915803
202,1042208,Zambezia,Mulevala,CS Morrua,,,-16.298738122,37.8480881453
203,1042203,Zambezia,Mulevala,CS Mulevala,,,-16.4338302612,37.5887238979
204,1042205,Zambezia,Mulevala,PS Tebo,,,-16.2810838223,37.3215329647
205,1041419,Zambezia,Namacurra,CS Lugela,,,-17.28563,37.149285
206,1041409,Zambezia,Namacurra,CS Malei,,,-17.2262942791,37.0229709148
207,1041417,Zambezia,Namacurra,CS Muceliua,,,-17.7106314898,37.2500520945
208,1041415,Zambezia,Namacurra,CS Muebele,,,-17.4093979597,37.1193641424
209,1041418,Zambezia,Namacurra,CS Mugubia,,,-17.5752443075,37.1589803696
210,1041406,Zambezia,Namacurra,CS Namacurra,,,-17.4939090014,37.0326751471
211,1041407,Zambezia,Namacurra,PS Furquia,,,-17.4824881554,37.1997445822
212,1041416,Zambezia,Namacurra,PS Mutange,,,-17.5595426559,36.9377303123
213,1041411,Zambezia,Namacurra,PS Naciaia,,,-17.3206919432,37.0502543449
214,1041510,Zambezia,Namarroi,CS Lipale,,,-16.0884046555,36.9593596458
215,1041509,Zambezia,Namarroi,CS Marea,,,-15.9745931625,37.0442837477
216,1041512,Zambezia,Namarroi,CS Mudine,,,-16.1528044939,37.0789647102
217,1041511,Zambezia,Namarroi,CS Mutatala,,,-15.8727711439,37.0216083527
218,1041507,Zambezia,Namarroi,CS Namarroi,,,-15.9538972378,36.8658256531
219,1041506,Zambezia,Namarroi,CS Regone,,,-15.749335885,36.7892217636
220,1041508,Zambezia,Namarroi,CS Mutepua,,,-16.0764688253,37.0162010193
221,1041513,Zambezia,Namarroi,CS Rumala,,,-15.6310397387,36.7306476831
222,1041618,Zambezia,Nicoadala,CS Amoro,,,-17.5747936964,36.6143631935
223,1041609,Zambezia,Nicoadala,CS Licuar,,,-17.581230998,36.6955536604
224,1041613,Zambezia,Nicoadala,CS Namacata,,,-17.7855885,36.90669715
225,1041614,Zambezia,Nicoadala,CS Nicoadala,,,-17.6031339169,36.8195736408
226,,Zambezia,Nicoadala,IFP Nicoadala,,,-17.4155080318,35.6109058857
227,1041620,Zambezia,Nicoadala,PS Domela,,,-17.74693251,36.92783833
228,1041715,Zambezia,Pebane,CS 7 de Abril,,,-17.2666507959,38.1431901455
229,1041737,Zambezia,Pebane,CS Alto Maganha,,,-17.0125597715,38.7193286419
230,1041716,Zambezia,Pebane,CS Impaca,,,-16.9672465324,38.0494040251
231,1041709,Zambezia,Pebane,CS Malema,,,-16.8246012926,38.5036575794
232,1041711,Zambezia,Pebane,CS Mulela,,,-16.8944460154,38.2917094231
233,1041712,Zambezia,Pebane,CS Muligode,,,-16.9927382469,38.4815561771
234,1041713,Zambezia,Pebane,CS Naburi,,,-16.7891907692,38.8821172714
235,1041706,Zambezia,Pebane,CS Pebane,,,-17.2741127014,38.1780481339
236,1041757,Zambezia,Pebane,CS Pele-Pele,,,-17.1519327164,38.279145956
237,1041717,Zambezia,Pebane,CS Tomea,,,-16.8652957678,39.0387904644
238,1041736,Zambezia,Pebane,CS Txalalane,,,-16.4933699369,38.9512646198
239,1041707,Zambezia,Pebane,PS Cutal,,,-17.04672575,38.5390144587
240,1041708,Zambezia,Pebane,CS Magiga,,,-17.1171176434,38.1469237804
